timestamp,test-class,test-method,time,description,result
"2022-06-03 04:56:14.593","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positive",16026,""[1] recordIndex=0, code=BET-1S4-L, title=El Chimpum 1 positivo, description=Este es el Chimpum 1 testeo, startDate=2025/04/02 12:00, finishDate=2025/04/09 12:00, budget=EUR 50.00, link=null"","Errors were unexpected, but found"
"2022-06-03 04:56:32.558","acme.testing.inventor.chimpum.InventorChimpumCreateTest","positive",17150,""[2] recordIndex=1, code=AND-000-A, title=El Chimpum 2 positivo, description=Este es el Chimpum 2 testeo, startDate=2030/09/01 17:00, finishDate=2030/09/08 17:00, budget=EUR 300.00, link=https://www.jsabina.com/"","OK"
"2022-06-03 04:56:47.779","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",14420,""[1] recordIndex=1, code=AAA-000-A, title=esto es estopa esto es estopa esto es estopa esto es estopa esto es estopa esto es estopa esto es esto es estopa, description=Este es el Chimpum 2 con un titulo de mas de 100 caracteres, startDate=2025/04/02 12:00, finishDate=2021/04/15 12:00, budget=EUR 50.00, link=null"","OK"
"2022-06-03 04:57:01.43","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",12969,""[2] recordIndex=2, code=AAA-000-A, title=El Chimpum 3 negativo, description=abc def ghi jkl mno pqrs tuv wxyz ABC DEF GHI JKL MNO PQRS TUV WXYZ !'§ $%& /() =?* '<> #|; ²³~ @`´ ©«» ¤¼× {} abc def ghi jkl mno pqrs tuv wxyz ABC DEF GHI JKL MNO PQRS TUV WXYZ !'§ $%& /() =?* '<> #|; ²³~ @`´ ©«» ¤¼× {} abc def ghi jkl mno pqrs tuv wxyz esta descripcion tiene mas de 255 caracteres, startDate=2025/04/02 12:00, finishDate=2021/04/15 12:00, budget=EUR 50.00, link=null"","OK"
"2022-06-03 04:57:15.235","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",12855,""[3] recordIndex=3, code=AAA-000-A, title=null, description=Este es el Chimpum 4 testeo titulo vacio, startDate=2025/04/02 12:00, finishDate=2021/04/15 12:00, budget=EUR 50.00, link=null"","OK"
"2022-06-03 04:57:30.588","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",14393,""[4] recordIndex=4, code=AAA-000-A, title=El Chimpum 5 negativo descripcion vacia, description=null, startDate=2025/04/02 12:00, finishDate=2021/04/15 12:00, budget=EUR 50.00, link=null"","OK"
"2022-06-03 04:57:44.249","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",12994,""[5] recordIndex=5, code=AAA-000-A, title=El Chimpum 7 negativo startdate mal, description=Este es el Chimpum 7 testeo, startDate=2021/03/31 12:00, finishDate=2021/04/15 12:00, budget=EUR 50.00, link=null"","OK"
"2022-06-03 04:57:56.597","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",11873,""[6] recordIndex=6, code=AAA-000-A, title=El Chimpum 8 negativo finishdate mal, description=Este es el Chimpum 8 testeo, startDate=2025/04/02 12:00, finishDate=2025/04/08 12:00, budget=EUR 50.00, link=null"","OK"
"2022-06-03 04:58:08.888","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",11717,""[7] recordIndex=7, code=AAA-000-A, title=El Chimpum 9 budget negativo, description=Este es el Chimpum 9 testeo, startDate=2025/04/02 12:00, finishDate=2021/04/15 12:00, budget=EUR -100.00, link=null"","OK"
"2022-06-03 04:58:20.576","acme.testing.inventor.chimpum.InventorChimpumCreateTest","negative",11086,""[8] recordIndex=8, code=AAA-000-A, title=El Chimpum 10 budget erroneo, description=Este es el Chimpum 10 testeo, startDate=2025/04/02 12:00, finishDate=2021/04/15 12:00, budget=YEN 1300.00, link=null"","OK"
